DATE_TIME,QTD_ITENS,QTD_CLIENTES
2019-05-07 10:15:00,965,101
2019-10-28 10:30:00,594,76
2019-10-04 06:45:00,150,40
2019-05-08 17:00:00,957,113
2019-01-15 16:45:00,703,118
2019-09-28 12:15:00,1383,100
2019-05-23 10:45:00,404,82
2019-12-15 09:45:00,637,68
2019-06-04 02:30:00,38,10
2019-09-11 01:30:00,94,16
2019-03-14 21:45:00,514,59
2019-04-08 07:45:00,228,47
2019-04-18 17:45:00,965,157
2019-12-19 06:00:00,93,26
2019-07-26 22:00:00,803,82
2019-03-30 19:30:00,989,103
2019-06-12 19:30:00,779,107
2019-09-15 14:15:00,865,86
2019-03-27 15:45:00,998,118
2019-04-05 01:15:00,200,25
2019-08-16 11:30:00,698,103
2019-06-16 02:15:00,99,17
2019-09-28 05:15:00,65,15
2019-10-31 00:30:00,281,40
2019-11-22 22:00:00,654,73
2019-11-30 20:45:00,1024,86
2019-11-06 23:15:00,530,61
2019-09-05 11:45:00,850,94
2019-04-12 07:45:00,331,69
2019-01-28 11:45:00,550,106
2019-08-17 20:15:00,1045,77
2019-05-17 22:15:00,514,76
2019-04-22 07:30:00,185,47
2019-03-11 11:45:00,712,107
2019-11-25 01:15:00,186,20
2019-10-16 00:30:00,342,42
2019-08-03 13:30:00,1568,162
2019-06-22 10:45:00,863,87
2019-04-23 04:30:00,21,4
2019-07-04 09:15:00,489,52
2019-07-06 17:00:00,1737,150
2019-02-10 04:15:00,15,5
2019-12-06 16:00:00,1069,123
2019-08-17 12:30:00,1113,141
2019-10-21 06:00:00,59,16
2019-06-27 09:00:00,378,71
2019-05-06 09:15:00,375,49
2019-09-13 09:30:00,546,81
2019-08-02 15:15:00,1295,123
2019-05-02 00:00:00,187,30
2019-01-08 20:00:00,855,94
2019-01-13 09:30:00,500,63
2019-03-24 18:30:00,889,114
2019-06-20 07:30:00,147,32
2019-04-28 15:00:00,822,92
2019-12-04 01:00:00,145,21
2019-06-22 23:00:00,438,59
2019-04-02 05:00:00,34,9
2019-12-24 01:15:00,1178,52
2019-02-11 17:00:00,793,117
2019-05-26 00:45:00,241,38
2019-06-20 03:30:00,40,11
2019-08-24 17:30:00,1410,106
2019-05-17 12:15:00,749,118
2019-06-14 01:00:00,162,18
2019-09-23 14:15:00,667,113
2019-09-18 09:45:00,834,90
2019-12-14 08:45:00,879,80
2019-10-23 22:00:00,733,75
2019-12-06 09:00:00,430,49
2019-01-16 18:45:00,851,108
2019-09-19 23:00:00,5,3
2019-11-15 15:45:00,880,101
2019-10-17 02:45:00,110,14
2019-06-21 18:30:00,663,104
2019-12-22 13:00:00,1523,129
2019-12-02 06:45:00,65,21
2019-12-09 15:30:00,356,68
2019-10-20 13:00:00,1106,112
2019-02-07 11:15:00,689,111
2019-12-14 15:45:00,1098,119
2019-09-17 07:30:00,400,48
2019-09-13 22:15:00,698,80
2019-01-30 00:45:00,168,25
2019-02-01 19:15:00,932,133
2019-04-16 01:00:00,236,30
2019-07-15 16:30:00,855,92
2019-08-19 09:45:00,432,64
2019-05-21 07:30:00,304,63
2019-11-08 10:00:00,722,70
2019-10-27 12:15:00,1026,108
2019-09-29 03:15:00,37,10
2019-09-08 15:00:00,827,111
2019-10-27 09:30:00,700,56
2019-05-19 14:15:00,923,93
2019-07-02 08:30:00,574,79
2019-12-01 10:45:00,845,92
2019-03-09 10:15:00,761,84
2019-10-27 02:30:00,68,16
2019-10-13 18:30:00,807,99
2019-12-07 03:15:00,121,17
2019-07-15 22:15:00,652,64
2019-06-07 10:45:00,536,89
2019-11-11 12:15:00,831,118
2019-06-13 10:00:00,654,76
2019-05-22 04:30:00,40,8
2019-05-12 23:15:00,264,47
2019-05-18 18:30:00,879,104
2019-02-24 03:30:00,45,16
2019-09-30 18:15:00,995,111
2019-07-19 20:45:00,992,93
2019-05-07 14:30:00,987,129
2019-02-24 09:15:00,444,52
2019-05-19 20:30:00,817,93
2019-08-18 07:30:00,159,35
2019-08-30 10:30:00,779,84
2019-06-02 19:45:00,578,73
2019-04-03 03:30:00,37,7
2019-04-29 09:00:00,416,49
2019-07-11 19:30:00,940,98
2019-02-23 12:30:00,943,104
2019-05-23 04:45:00,41,5
2019-04-29 19:30:00,642,78
2019-11-21 08:00:00,338,50
2019-09-25 13:00:00,1096,135
2019-07-31 04:30:00,3,1
2019-08-04 03:45:00,12,3
2019-03-03 22:00:00,474,71
2019-08-29 05:15:00,22,10
2019-05-12 15:00:00,558,81
2019-04-07 09:15:00,516,64
2019-09-01 05:30:00,42,13
2019-07-19 16:30:00,853,111
2019-11-03 22:00:00,527,60
2019-06-10 04:15:00,10,4
2019-05-25 15:45:00,798,97
2019-11-23 13:00:00,1122,144
2019-12-21 02:00:00,319,32
2019-03-19 00:00:00,204,38
2019-02-23 02:30:00,203,29
2019-12-14 00:30:00,430,61
2019-03-03 02:00:00,214,31
2019-07-31 13:15:00,1119,177
2019-11-07 19:30:00,851,100
2019-04-24 04:45:00,9,5
2019-05-28 19:30:00,801,108
2019-01-21 07:00:00,6,6
2019-07-30 11:45:00,976,127
2019-07-28 14:00:00,855,87
2019-09-17 00:30:00,285,25
2019-03-23 09:15:00,575,80
2019-06-26 08:00:00,473,81
2019-09-23 06:15:00,103,26
2019-04-21 05:30:00,79,23
2019-05-21 02:15:00,111,10
2019-01-10 13:30:00,681,147
2019-03-23 22:15:00,575,85
2019-04-10 19:00:00,1253,144
2019-07-10 17:30:00,1175,114
2019-09-11 06:00:00,186,35
2019-08-19 16:45:00,632,71
2019-09-22 21:15:00,708,78
2019-09-07 00:45:00,398,42
2019-07-17 11:30:00,1321,124
2019-02-12 19:00:00,1116,118
2019-02-27 01:45:00,60,10
2019-10-16 15:45:00,1009,108
2019-12-21 22:00:00,986,91
2019-10-31 20:45:00,836,73
2019-08-23 21:15:00,699,79
2019-07-21 10:45:00,859,75
2019-03-10 18:45:00,710,90
2019-04-20 14:15:00,749,120
2019-03-09 14:30:00,923,112
2019-03-13 07:45:00,345,63
2019-02-20 16:00:00,824,126
2019-01-11 18:15:00,923,128
2019-04-04 18:00:00,753,120
2019-09-17 15:45:00,877,109
2019-06-10 00:45:00,114,17
2019-02-27 06:45:00,190,46
2019-09-26 06:30:00,111,31
2019-05-10 15:45:00,799,134
2019-03-23 03:30:00,63,11
2019-03-07 15:15:00,688,113
2019-10-09 10:00:00,941,85
2019-09-23 17:30:00,894,109
2019-03-11 19:00:00,884,109
2019-05-24 17:15:00,854,119
2019-10-14 23:00:00,530,57
2019-09-20 14:45:00,560,100
2019-05-15 01:00:00,147,19
2019-04-10 11:45:00,773,114
2019-02-10 14:30:00,824,133
2019-03-04 03:00:00,30,2
2019-09-04 04:45:00,35,8
2019-07-04 13:30:00,582,104
2019-01-15 03:45:00,28,9
2019-06-19 08:15:00,549,81
2019-02-20 17:45:00,823,123
2019-03-26 06:45:00,182,39
2019-10-28 04:30:00,5,1
2019-12-15 21:15:00,811,90
2019-01-28 06:45:00,99,28
2019-11-27 10:30:00,1480,142
2019-01-27 20:30:00,806,107
2019-09-13 00:00:00,440,37
2019-05-13 03:00:00,5,2
2019-06-03 01:30:00,89,10
2019-02-26 20:30:00,910,124
2019-05-04 06:15:00,145,18
2019-04-11 12:45:00,674,142
2019-12-26 00:15:00,1,1
2019-09-10 04:00:00,10,4
2019-10-02 16:45:00,1112,104
2019-08-05 17:00:00,1040,125
2019-10-14 01:30:00,114,19
2019-10-11 08:15:00,485,65
2019-10-30 15:30:00,1092,118
2019-10-01 03:30:00,14,5
2019-06-11 15:00:00,785,110
2019-06-06 14:30:00,614,110
2019-04-13 15:00:00,907,109
2019-07-01 04:15:00,24,5
2019-05-17 17:45:00,867,125
2019-02-25 18:30:00,667,109
2019-09-13 05:15:00,38,13
2019-05-09 01:45:00,94,24
2019-05-13 19:30:00,678,88
2019-12-13 15:30:00,821,105
2019-11-07 12:15:00,977,131
2019-01-20 23:15:00,5,4
2019-04-02 22:00:00,706,87
2019-08-18 16:30:00,1079,99
2019-11-26 12:15:00,1078,164
2019-11-11 02:15:00,44,10
2019-07-02 20:30:00,1058,93
2019-09-29 07:15:00,127,23
2019-03-19 17:45:00,581,97
2019-03-15 16:00:00,917,143
2019-01-12 15:30:00,928,119
2019-02-14 07:45:00,244,62
2019-04-28 23:15:00,191,27
2019-07-25 15:00:00,770,118
2019-11-13 01:30:00,183,19
2019-06-17 03:15:00,29,5
2019-12-19 14:00:00,855,148
2019-01-16 04:45:00,30,6
2019-02-10 10:15:00,764,90
2019-12-26 05:45:00,3,3
2019-05-05 05:30:00,100,19
2019-03-26 11:45:00,967,115
2019-04-06 15:15:00,764,95
2019-04-27 09:45:00,696,71
2019-08-01 14:15:00,705,109
2019-05-28 02:00:00,119,18
2019-06-07 04:45:00,25,9
2019-03-03 12:00:00,919,120
2019-04-14 19:30:00,802,87
2019-05-11 16:45:00,1085,130
2019-06-25 21:15:00,777,95
2019-10-16 16:30:00,974,113
2019-03-14 23:15:00,385,45
2019-04-21 02:30:00,134,22
2019-12-29 20:45:00,1083,98
2019-04-07 13:30:00,972,98
2019-05-15 06:00:00,171,23
2019-01-11 04:15:00,3,1
2019-11-20 06:00:00,94,18
2019-12-03 07:15:00,434,79
2019-09-08 23:15:00,344,50
2019-05-08 08:30:00,527,85
2019-01-13 02:30:00,51,15
2019-04-08 14:30:00,474,85
2019-08-11 10:00:00,551,61
2019-09-01 22:30:00,632,61
2019-10-12 02:15:00,175,19
2019-10-22 17:30:00,1321,102
2019-08-29 12:15:00,792,124
2019-10-01 00:15:00,349,37
2019-02-12 11:45:00,913,110
2019-10-12 22:15:00,591,93
2019-12-11 13:15:00,1046,176
2019-10-27 05:15:00,70,15
2019-01-21 16:00:00,886,133
2019-08-30 03:15:00,23,4
2019-09-02 07:30:00,203,36
2019-06-18 01:30:00,84,14
2019-01-22 02:45:00,42,10
2019-04-12 16:45:00,654,113
2019-04-22 22:15:00,472,77
2019-04-04 19:45:00,687,104
2019-11-11 22:15:00,477,64
2019-03-22 05:30:00,49,16
2019-05-02 17:45:00,630,134
2019-06-14 11:00:00,582,84
2019-04-22 02:15:00,53,8
2019-09-24 23:45:00,213,29
2019-06-27 22:00:00,489,64
2019-05-22 18:30:00,996,114
2019-11-30 08:45:00,482,73
2019-08-05 04:45:00,19,1
2019-04-11 15:45:00,839,112
2019-07-09 00:45:00,282,40
2019-07-02 01:15:00,184,19
2019-07-24 21:15:00,1096,84
2019-01-06 13:00:00,845,119
2019-05-21 03:30:00,22,6
2019-09-04 23:15:00,474,60
2019-09-14 21:00:00,1095,100
2019-05-19 06:15:00,78,25
2019-08-21 14:45:00,967,121
2019-12-08 07:45:00,305,38
2019-04-03 03:00:00,11,6
2019-04-07 16:15:00,1037,118
2019-06-10 21:15:00,861,84
2019-03-29 17:30:00,997,134
2019-12-21 05:00:00,82,13
2019-03-05 19:45:00,561,87
2019-05-03 18:00:00,1000,150
2019-10-27 19:00:00,1159,103
2019-03-12 13:30:00,750,149
2019-09-10 10:00:00,1058,99
2019-01-21 07:30:00,211,60
2019-05-20 20:15:00,935,110
2019-11-21 21:45:00,742,72
2019-01-12 04:45:00,28,8
2019-10-12 09:15:00,824,76
2019-02-04 22:00:00,717,85
2019-08-27 19:45:00,909,79
2019-01-25 09:15:00,423,65
2019-01-15 14:00:00,895,186
2019-02-05 03:00:00,50,9
2019-04-26 15:45:00,607,79
2019-05-08 10:45:00,1019,112
2019-10-07 23:15:00,547,51
2019-02-22 14:15:00,553,113
2019-09-17 08:45:00,577,69
2019-03-16 10:00:00,762,82
2019-11-11 09:15:00,457,57
2019-10-02 07:45:00,357,46
2019-04-09 18:45:00,812,90
2019-02-16 09:00:00,350,44
2019-03-26 05:00:00,43,5
2019-12-24 17:00:00,1682,175
2019-09-18 02:45:00,104,11
2019-04-05 08:30:00,388,80
2019-08-14 16:30:00,1046,106
2019-08-03 03:30:00,122,14
2019-11-16 09:45:00,453,53
2019-05-28 09:00:00,755,93
2019-11-15 00:30:00,696,63
2019-06-05 07:30:00,380,66
2019-10-07 17:30:00,1042,101
2019-05-20 08:15:00,302,49
2019-03-06 08:30:00,567,86
2019-04-09 10:45:00,887,88
2019-05-03 04:15:00,35,1
2019-01-04 14:15:00,865,131
2019-01-20 12:00:00,864,98
2019-04-04 10:30:00,586,81
2019-07-26 09:00:00,400,65
2019-06-17 13:15:00,627,148
2019-08-31 06:30:00,166,25
2019-04-12 00:45:00,22,6
2019-10-10 06:30:00,169,46
2019-05-27 23:30:00,321,45
2019-06-29 14:00:00,1087,120
2019-08-01 04:45:00,82,10
2019-06-16 22:15:00,359,57
2019-01-17 07:00:00,194,49
2019-11-09 01:30:00,198,18
2019-03-29 23:15:00,556,92
2019-07-25 08:00:00,203,53
2019-12-20 20:00:00,872,104
2019-07-03 01:45:00,88,16
2019-03-30 02:00:00,151,30
2019-06-19 17:30:00,1009,126
2019-03-14 15:00:00,577,102
2019-10-30 18:45:00,1020,117
2019-09-15 11:30:00,954,106
2019-09-25 15:45:00,1015,101
2019-11-27 02:45:00,14,4
2019-07-12 04:00:00,13,5
2019-12-09 17:00:00,918,89
2019-07-02 04:45:00,13,6
2019-07-06 23:15:00,647,59
2019-02-11 10:45:00,704,66
2019-05-05 01:45:00,129,25
2019-09-14 04:30:00,26,10
2019-04-15 10:00:00,383,67
2019-01-17 19:30:00,529,73
2019-05-29 07:15:00,387,79
2019-10-31 08:45:00,495,64
2019-10-24 07:15:00,244,64
2019-02-17 04:00:00,42,7
2019-07-03 02:30:00,83,13
2019-10-22 08:00:00,410,49
2019-10-16 20:45:00,1109,87
2019-02-23 05:30:00,53,16
2019-05-06 16:15:00,596,116
2019-12-21 12:15:00,1658,165
2019-04-05 20:30:00,706,92
2019-02-19 15:00:00,847,105
2019-08-30 12:45:00,1015,173
2019-09-02 03:30:00,38,5
2019-05-27 08:00:00,142,40
2019-11-25 20:15:00,1167,116
2019-09-03 16:45:00,1036,85
2019-06-18 13:45:00,799,151
2019-12-11 04:00:00,69,6
2019-05-03 10:15:00,659,77
2019-09-02 00:15:00,255,27
2019-03-14 17:30:00,724,124
2019-02-21 13:15:00,650,164
2019-03-06 01:15:00,103,19
2019-06-26 20:00:00,958,93
2019-07-15 00:00:00,408,45
2019-04-28 20:00:00,521,68
2019-08-01 06:15:00,135,27
2019-06-21 09:45:00,459,69
2019-09-09 22:00:00,911,71
2019-09-25 03:15:00,50,8
2019-01-05 17:15:00,1428,127
2019-04-09 17:00:00,879,129
2019-04-01 23:30:00,254,40
2019-04-08 10:15:00,402,59
2019-01-31 20:00:00,783,112
2019-01-25 00:00:00,340,47
2019-06-11 17:30:00,886,128
2019-08-03 07:30:00,194,32
2019-06-03 20:30:00,873,101
2019-08-07 19:15:00,1239,125
2019-08-24 08:00:00,411,47
2019-07-03 08:15:00,643,92
2019-04-20 11:30:00,973,119
2019-07-30 12:15:00,965,153
2019-03-24 09:45:00,450,59
2019-07-16 13:15:00,1096,146
2019-11-07 09:00:00,536,62
2019-03-16 21:30:00,552,67
2019-10-15 20:15:00,1076,88
2019-10-13 04:30:00,62,15
2019-03-25 10:45:00,589,86
2019-03-13 16:45:00,1004,114
2019-02-22 13:45:00,488,144
2019-03-04 09:15:00,365,63
2019-07-12 07:15:00,246,53
2019-07-15 02:15:00,88,15
2019-03-07 01:45:00,65,13
2019-11-05 00:45:00,371,28
2019-03-04 13:00:00,920,124
2019-07-04 07:30:00,169,38
2019-02-01 00:00:00,425,66
2019-12-23 07:45:00,244,48
2019-08-14 09:15:00,830,64
2019-07-03 05:30:00,85,24
2019-11-13 11:30:00,1412,143
2019-11-13 18:15:00,1108,138
2019-04-18 12:15:00,1278,185
2019-09-29 04:30:00,49,6
2019-11-16 21:00:00,784,79
2019-05-30 14:00:00,777,134
2019-11-22 06:45:00,196,31
2019-11-12 13:15:00,1089,177
2019-09-07 06:30:00,187,33
2019-10-26 08:30:00,437,57
2019-07-31 10:30:00,1028,104
2019-04-10 01:45:00,129,23
2019-09-23 08:00:00,225,51
2019-01-30 09:45:00,710,94
2019-05-15 11:00:00,965,125
2019-02-20 03:30:00,40,4
2019-01-10 22:15:00,642,98
2019-08-18 08:45:00,399,47
2019-12-12 18:15:00,1029,125
2019-06-03 01:15:00,82,14
2019-11-09 18:15:00,1042,119
2019-11-25 06:15:00,120,32
2019-06-21 22:45:00,309,54
2019-03-21 06:15:00,111,29
2019-08-31 18:15:00,1651,123
2019-05-26 18:00:00,826,117
2019-11-07 22:00:00,508,69
2019-08-28 11:15:00,1366,108
2019-10-10 01:30:00,129,16
2019-11-21 23:00:00,573,60
2019-06-28 13:00:00,837,157
2019-10-12 05:15:00,44,12
2019-02-26 04:45:00,29,9
2019-10-14 11:30:00,595,89
2019-02-04 12:00:00,649,101
2019-11-19 13:00:00,1023,155
2019-02-02 21:30:00,1011,86
2019-12-21 12:00:00,1536,155
2019-11-08 12:45:00,865,156
2019-04-20 06:15:00,137,39
2019-07-10 23:15:00,518,64
2019-01-08 08:30:00,606,90
2019-02-07 01:15:00,152,23
2019-03-13 21:15:00,799,92
2019-07-04 03:00:00,37,7
2019-03-20 13:15:00,1020,151
2019-01-09 15:15:00,870,126
2019-12-11 09:45:00,1106,100
2019-08-25 23:45:00,153,24
2019-09-25 13:30:00,1105,126
2019-01-29 19:15:00,868,114
2019-12-23 04:15:00,54,6
2019-06-17 10:30:00,327,70
2019-06-07 23:15:00,478,55
2019-09-16 20:15:00,1069,109
2019-12-18 19:15:00,1180,140
2019-03-08 22:15:00,721,106
2019-06-20 05:15:00,59,18
2019-10-12 12:15:00,1231,135
2019-04-01 20:00:00,1050,101
2019-01-17 22:00:00,717,89
2019-10-28 05:45:00,34,13
2019-02-11 04:45:00,3,1
2019-05-09 19:30:00,546,87
2019-10-08 19:30:00,823,90
2019-04-16 11:00:00,1059,144
2019-02-08 02:30:00,122,12
2019-01-10 16:15:00,922,131
2019-11-23 03:15:00,78,9
2019-01-09 09:30:00,953,115
2019-10-17 09:45:00,449,55
2019-05-05 15:15:00,556,89
2019-01-20 08:15:00,289,48
2019-06-30 11:15:00,857,98
2019-04-23 09:45:00,741,81
2019-02-09 09:15:00,456,59
2019-05-15 18:15:00,1003,156
2019-09-19 03:45:00,9,5
2019-01-02 19:15:00,1008,107
2019-07-31 03:15:00,46,10
2019-08-16 23:00:00,560,68
2019-03-06 14:15:00,956,125
2019-09-28 22:30:00,448,63
2019-03-15 07:00:00,129,26
2019-02-14 16:45:00,691,106
2019-05-31 01:15:00,76,9
2019-08-18 15:45:00,821,91
2019-11-01 10:30:00,700,99
2019-11-14 14:45:00,757,99
2019-01-12 18:45:00,775,91
2019-02-15 08:00:00,453,73
2019-09-15 23:00:00,588,54
2019-11-24 10:15:00,725,91
2019-02-27 11:45:00,1032,109
2019-09-14 09:45:00,523,58
2019-02-15 20:00:00,710,111
2019-10-08 23:45:00,240,18
2019-02-16 07:00:00,139,30
2019-02-09 15:45:00,855,121
2019-12-18 17:45:00,1126,131
2019-08-02 12:30:00,962,161
2019-10-12 09:30:00,743,75
2019-09-16 15:30:00,649,83
2019-11-02 04:45:00,102,9
2019-09-02 13:30:00,936,137
2019-06-16 00:00:00,110,19
2019-10-31 11:45:00,829,110
2019-09-17 16:30:00,812,103
2019-09-24 22:00:00,732,75
2019-12-10 07:30:00,553,80
2019-07-13 18:15:00,1247,140
2019-01-26 18:30:00,969,108
2019-11-19 19:15:00,1140,123
2019-02-09 16:15:00,972,125
2019-02-09 22:15:00,782,97
2019-01-08 06:15:00,134,40
2019-07-17 01:30:00,203,15
2019-11-03 06:45:00,150,22
2019-11-24 01:30:00,160,24
2019-12-13 14:45:00,809,107
2019-09-18 22:45:00,494,53
2019-09-29 05:45:00,137,19
2019-03-15 23:45:00,502,77
2019-01-05 12:00:00,1112,124
2019-06-23 02:00:00,104,15
2019-06-03 10:45:00,431,65
2019-03-09 09:45:00,645,81
2019-10-25 14:30:00,787,101
2019-07-28 14:30:00,800,82
2019-06-16 05:15:00,48,17
2019-08-15 13:15:00,784,151
2019-04-01 06:15:00,94,29
2019-04-06 05:30:00,54,21
2019-04-18 00:00:00,659,63
2019-03-03 05:00:00,14,7
2019-07-26 02:00:00,65,17
2019-09-13 02:15:00,47,13
2019-03-10 17:00:00,916,122
2019-05-01 12:00:00,1556,145
2019-08-14 02:15:00,84,14
2019-04-16 14:00:00,933,146
2019-01-17 23:45:00,394,42
2019-08-14 22:15:00,649,77
2019-09-26 19:45:00,763,84
2019-05-07 07:45:00,238,41
2019-04-16 06:00:00,133,38
2019-03-20 03:15:00,20,10
2019-08-24 21:45:00,705,78
2019-10-06 00:45:00,384,40
2019-10-08 09:00:00,820,88
2019-09-10 10:30:00,872,102
2019-11-19 16:00:00,1041,150
2019-08-31 11:30:00,1311,116
2019-05-13 09:00:00,198,41
2019-04-29 02:00:00,62,12
2019-04-06 06:45:00,90,16
2019-05-12 08:00:00,166,40
2019-06-06 07:45:00,226,51
2019-10-11 11:15:00,1035,112
2019-02-11 08:30:00,184,55
2019-06-05 15:45:00,912,108
2019-08-09 15:00:00,959,150
2019-04-20 01:30:00,77,18
2019-07-16 00:15:00,261,19
2019-08-02 08:15:00,221,59
2019-03-15 09:00:00,419,91
2019-02-19 20:15:00,817,125
2019-11-01 07:45:00,306,49
2019-12-09 20:15:00,1014,130
2019-03-15 19:30:00,681,100
2019-02-09 13:30:00,1172,146
2019-10-29 03:45:00,29,5
2019-05-11 00:45:00,241,30
2019-08-26 13:30:00,712,149
2019-11-28 03:45:00,11,2
2019-02-06 19:45:00,580,85
2019-01-25 22:15:00,601,70
2019-09-10 13:15:00,921,146
2019-12-10 05:15:00,102,18
2019-01-18 10:00:00,451,77
2019-12-16 23:30:00,525,58
2019-10-13 13:15:00,871,99
2019-02-01 03:00:00,142,11
2019-10-24 13:00:00,767,140
2019-12-12 11:30:00,910,97
2019-08-24 20:00:00,1035,91
2019-09-29 12:45:00,942,111
2019-10-25 19:45:00,871,94
2019-04-18 05:15:00,49,17
2019-06-01 17:45:00,1060,119
2019-08-04 16:45:00,1223,120
2019-11-27 12:45:00,1005,168
2019-03-29 06:15:00,106,38
2019-11-01 00:45:00,244,30
2019-11-26 05:30:00,92,22
2019-10-25 06:30:00,137,35
2019-04-09 08:30:00,503,74
2019-12-22 10:30:00,1138,110
2019-01-09 22:30:00,778,76
2019-10-06 14:00:00,975,105
2019-07-20 09:45:00,1121,76
2019-05-04 10:45:00,956,91
2019-01-06 03:00:00,138,19
2019-08-06 19:30:00,821,98
2019-12-15 21:00:00,873,103
2019-05-30 04:15:00,44,8
2019-07-08 15:45:00,884,108
2019-12-10 02:15:00,120,9
2019-11-09 06:30:00,217,36
2019-08-19 22:45:00,412,42
2019-02-10 18:30:00,926,118
2019-04-24 10:45:00,1029,120
2019-05-28 01:45:00,175,18
2019-04-23 18:30:00,797,100
2019-09-09 00:00:00,276,33
2019-11-06 17:30:00,1068,116
2019-07-20 05:45:00,117,21
2019-07-16 10:30:00,1043,106
2019-12-27 14:00:00,957,113
2019-08-26 13:00:00,876,177
2019-06-05 09:15:00,817,88
2019-02-12 01:45:00,97,15
2019-05-19 11:30:00,1020,95
2019-02-17 10:00:00,812,77
2019-03-22 06:45:00,122,39
2019-11-02 10:45:00,1488,113
2019-08-06 11:45:00,937,94
2019-07-27 13:00:00,1418,128
2019-03-27 19:15:00,1024,109
2019-02-08 05:30:00,84,19
2019-10-06 06:00:00,70,21
2019-02-04 12:30:00,709,140
2019-07-02 23:00:00,513,56
2019-10-28 22:45:00,369,35
2019-09-14 18:30:00,1208,117
2019-01-05 22:00:00,760,75
2019-12-03 13:00:00,1077,194
2019-01-13 11:45:00,780,100
2019-12-17 17:15:00,791,101
2019-07-16 18:30:00,1061,104
2019-04-06 02:30:00,126,30
2019-05-28 23:45:00,263,29
2019-06-30 01:15:00,231,38
2019-08-17 08:15:00,429,51
2019-08-02 05:30:00,73,21
2019-02-22 20:30:00,697,106
2019-03-22 12:30:00,820,128
2019-09-14 02:45:00,97,12
2019-07-31 21:00:00,1458,101
2019-09-15 01:30:00,197,29
2019-08-30 04:30:00,7,4
2019-12-07 07:15:00,380,63
2019-09-27 04:45:00,34,5
2019-10-20 19:15:00,887,82
2019-12-10 12:15:00,1269,147
2019-07-23 12:15:00,1045,151
2019-02-08 09:30:00,564,83
2019-05-25 17:45:00,888,96
2019-11-25 08:30:00,249,54
2019-03-09 22:45:00,504,51
2019-08-04 07:45:00,167,24
2019-10-24 03:15:00,24,6
2019-01-28 01:45:00,110,12
2019-03-23 00:30:00,355,48
2019-01-27 17:00:00,660,108
2019-08-29 19:00:00,658,93
2019-07-26 05:30:00,131,25
2019-06-27 23:45:00,184,28
2019-05-30 18:15:00,703,116
2019-03-29 20:00:00,825,91
2019-06-21 04:30:00,27,3
2019-02-04 05:00:00,15,3
2019-07-30 09:30:00,838,82
2019-04-17 15:00:00,1156,158
2019-06-08 05:00:00,81,11
2019-09-22 14:00:00,958,107
2019-09-09 19:30:00,717,81
2019-12-18 16:00:00,1145,143
2019-06-30 21:45:00,552,71
2019-09-08 17:30:00,1006,119
2019-01-23 11:30:00,1164,132
2019-04-28 08:00:00,276,34
2019-02-05 13:00:00,896,175
2019-08-10 19:30:00,1138,113
2019-02-11 18:45:00,662,103
2019-05-28 05:30:00,92,24
2019-11-08 00:15:00,515,44
2019-07-21 08:00:00,236,43
2019-04-06 01:45:00,146,34
2019-01-30 19:45:00,701,77
2019-07-15 20:45:00,802,88
2019-09-21 19:15:00,1050,96
2019-06-26 15:00:00,737,125
2019-10-18 20:00:00,918,93
2019-01-18 04:00:00,37,9
2019-08-31 07:45:00,297,41
